"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C5","3","0.1µF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C6","1","4.7µF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D3","1","SP0503BAHT","","","","Package_TO_SOT_SMD:SOT-143","http://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/sp05xxba.pdf"
"J1","1","Conn_02x07_Top_Bottom","","","","Connector_PinSocket_2.54mm:PinSocket_2x07_P2.54mm_Horizontal","~"
"R1","1","200K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R_PD1","2","100K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R3,R6,R7,R8,R9,R10,R_PU0,R_PU1","8","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R11","1","10KΩ","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"SW1","1","SW_SPST","","","","My footprints:OS102011MA1QN1_CNK","~"
"SW2,SW3,SW4,SW5,SW6,SW7","6","SW_Push","","","","Button_Switch_SMD:SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG","~"
"U1","1","~","","","","My footprints:4410_Micro_LiPo_USBC",""
"U2","1","kb2040","","","","My footprints:kb2040",""
"U3","1","~","","","","My footprints:Adafruit_280X240_Display",""
"U4,U6","2","MAX40200AUK","","","","Package_TO_SOT_SMD:SOT-23-5","https://datasheets.maximintegrated.com/en/ds/MAX40200.pdf"
